Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,17,17,37.1,10.8,22.9,.472,3.6,10.7,.335,7.2,12.2,.591,.550,9.8,12.1,.810,0.8,8.4,9.2,9.1,1.5,0.6,4.4,2.5,35.0,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,23,23,33.3,10.8,19.4,.556,2.2,5.0,.443,8.6,14.4,.595,.613,9.0,10.2,.881,0.5,4.3,4.7,6.4,1.4,0.7,1.7,2.0,32.8,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,23,23,39.9,10.7,22.9,.467,3.7,9.3,.391,7.0,13.6,.519,.546,6.4,7.3,.881,0.3,4.4,4.7,7.2,1.7,0.9,2.7,2.3,31.5,,maxeyty01
4,Donovan Mitchell,29,CLE,SG,23,23,34.3,10.6,21.1,.502,4.0,10.4,.385,6.6,10.7,.615,.597,5.3,6.3,.836,1.0,3.9,4.8,5.5,1.4,0.3,3.4,2.4,30.5,,mitchdo01
5,Nikola Jokić,30,DEN,C,23,23,34.9,10.5,17.1,.612,2.1,5.0,.414,8.4,12.1,.694,.673,6.1,7.2,.855,3.0,9.3,12.3,11.0,1.3,0.8,3.5,2.8,29.2,,jokicni01
6,Jaylen Brown,29,BOS,SF,23,23,33.7,10.7,21.6,.496,2.1,5.9,.363,8.6,15.7,.546,.545,5.6,7.1,.785,1.2,5.0,6.2,4.9,1.1,0.4,3.6,3.1,29.1,,brownja02
7,Giannis Antetokounmpo,31,MIL,PF,17,17,29.1,11.1,17.3,.639,0.6,1.4,.435,10.5,15.9,.657,.656,6.2,9.8,.635,3.3,6.8,10.1,6.1,0.9,0.9,3.3,2.8,28.9,,antetgi01
8,Anthony Edwards,24,MIN,SG,20,20,34.4,9.7,19.3,.500,3.4,8.1,.416,6.3,11.3,.560,.587,6.0,7.2,.833,0.8,4.2,4.9,3.8,1.2,0.8,3.0,2.1,28.7,,edwaran01
9,Austin Reaves,27,LAL,SG,20,20,36.8,8.6,16.9,.509,2.9,7.7,.370,5.8,9.2,.625,.593,8.4,9.6,.874,0.8,4.7,5.5,6.7,1.1,0.2,3.4,2.2,28.4,,reaveau01
10,Jalen Brunson,29,NYK,PG,21,21,34.7,9.8,20.8,.471,2.7,7.4,.359,7.1,13.4,.534,.535,5.7,6.7,.857,0.5,2.6,3.1,6.4,0.8,0.0,2.3,2.3,28.0,,brunsja01
11,Stephen Curry,37,GSW,PG,16,16,31.1,9.1,19.4,.471,4.7,12.0,.391,4.4,7.4,.602,.592,4.9,5.4,.919,0.3,3.4,3.7,4.0,1.3,0.6,3.1,2.2,27.9,,curryst01
12,Lauri Markkanen,28,UTA,PF,22,22,35.1,9.2,19.5,.472,3.0,8.3,.361,6.2,11.2,.555,.549,6.2,6.8,.907,2.2,4.4,6.5,2.0,0.8,0.4,1.2,1.7,27.6,,markkla01
13,Cade Cunningham,24,DET,PG,21,21,36.4,9.5,21.0,.452,1.9,6.4,.299,7.6,14.7,.519,.498,6.5,7.8,.840,1.5,4.9,6.4,9.3,1.5,0.8,3.9,3.3,27.5,,cunnica01
